Method,Cross-Domain AUROC,Within-Domain AUROC,Δ (degradation),Corr. with SGI
Displacement Consistency,1.0,1.0,0.0,-0.013036151357518731
Expected Response Dev.,1.0,1.0,0.0,0.09174735917993755
Displacement Magnitude,0.9986984315276131,0.9977566890734151,0.0009417424541979802,-0.12496392976472893
Tangent Space Residual,1.0,0.9963991037300647,0.0036008962699353164,0.0920906723728586
Response Rank,0.9999703440094899,0.9932667721101885,0.006703571899301375,0.3408396736338614
Local Density Ratio,0.999288256227758,0.9816791880848821,0.017609068142875883,-0.003484038289319071
LSGI,0.9931049822064058,0.8997347907134384,0.09337019149296732,0.02214084382026471
