Method,Cross-Domain AUROC,Within-Domain AUROC,Δ (degradation),Corr. with SGI
Displacement Consistency,1.0,1.0,0.0,0.00869427491507403
Expected Response Dev.,1.0,1.0,0.0,0.015178629881030328
Displacement Magnitude,0.9999838539607223,0.9997403453275339,0.0002435086331884495,-0.02853838018443255
Tangent Space Residual,1.0,0.9952550415183867,0.004744958481613271,0.09088420356805943
Response Rank,0.9998818703044682,0.9907130618162647,0.00916880848820345,0.26533071394434454
Local Density Ratio,0.9908738631870304,0.9472489126136814,0.04362495057334903,0.009835008528722168
LSGI,0.9647527280042733,0.8700569741365127,0.09469575386776052,-0.00510523415444354
