Method,Cross-Domain AUROC,Within-Domain AUROC,Δ (degradation),Corr. with SGI
Displacement Consistency,1.0,1.0,0.0,-0.004847501201540813
Expected Response Dev.,1.0,1.0,0.0,0.0821682188827584
Displacement Magnitude,0.9997383682614999,0.9997785686041915,-4.0200342691587565e-05,-0.028210299073409037
Tangent Space Residual,0.9987119414788453,0.9978871754316594,0.0008247660471859541,0.04428545848063852
Response Rank,0.9986424146566496,0.9954950902860156,0.0031473243706340304,0.2609011392798899
Local Density Ratio,0.9741709503097403,0.8857755041518386,0.08839544615790174,-0.31918118163254056
LSGI,0.8983569978668348,0.758525022779239,0.1398319750875957,0.30669223760019476
